Noticias,links
"Aunque realizaban un velorio, había show de chistes como último adiós a su compañero. Los sancionaron por la aglomeración en época de coronavirus.",https://noticias.caracoltv.com/mundo/se-le-dano-la-risa-a-grupo-de-payasos-que-despedia-con-fiesta-a-uno-de-sus-colegas
"




",https://noticias.caracoltv.com/mundo/ee-uu-no-participara-en-plataforma-de-la-oms-para-distribuir-la-vacuna-del-coronavirus
Mundo,https://noticias.caracoltv.com/mundo
EE. UU. no participará en plataforma de la OMS para distribuir la vacuna del coronavirus ,https://noticias.caracoltv.com/mundo/ee-uu-no-participara-en-plataforma-de-la-oms-para-distribuir-la-vacuna-del-coronavirus
"El plan COVAX, que integra a 172 países, busca que su acceso sea global y bajo términos de igualdad. ",https://noticias.caracoltv.com/mundo/ee-uu-no-participara-en-plataforma-de-la-oms-para-distribuir-la-vacuna-del-coronavirus
"




",https://noticias.caracoltv.com/mundo/muere-otro-hombre-afroamericano-a-manos-de-la-policia-en-ee-uu-denuncian-que-le-dieron-mas-de-20-tiros
Mundo,https://noticias.caracoltv.com/mundo
Muere otro afroamericano a manos de la Policía en EE. UU.: denuncian que le dieron más de 20 tiros,https://noticias.caracoltv.com/mundo/muere-otro-hombre-afroamericano-a-manos-de-la-policia-en-ee-uu-denuncian-que-le-dieron-mas-de-20-tiros
"Manifestantes exigen respuestas de las autoridades de Los Ángeles por el caso de Dijon Kizzee, quien fue baleado tras intentar evadir un control.",https://noticias.caracoltv.com/mundo/muere-otro-hombre-afroamericano-a-manos-de-la-policia-en-ee-uu-denuncian-que-le-dieron-mas-de-20-tiros
"




",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-2-de-septiembre
Salud,https://noticias.caracoltv.com/salud
Coronavirus cobró la vida de otros 296 colombianos: han muerto 20.348,https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-2-de-septiembre
Una bebé de 2 años con cáncer está entre las más reciente víctimas mortales. Este jueves se reportaron 9.270 nuevos infectados. ¡No baje la guardia! ,https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-2-de-septiembre
"




",https://noticias.caracoltv.com/salud/desde-el-congreso-denuncian-manipulacion-de-cifras-para-aplanar-curva-del-covid-19
Salud,https://noticias.caracoltv.com/salud
Desde el Congreso denuncian manipulación de cifras para aplanar curva del COVID-19 ,https://noticias.caracoltv.com/salud/desde-el-congreso-denuncian-manipulacion-de-cifras-para-aplanar-curva-del-covid-19
"José Luis Correa asegura que la práctica de pruebas ha bajado y, por eso, hay una reducción en el pico de la pandemia. Minsalud responde. ",https://noticias.caracoltv.com/salud/desde-el-congreso-denuncian-manipulacion-de-cifras-para-aplanar-curva-del-covid-19
"




",https://noticias.caracoltv.com/salud/heroica-labor-de-100-voluntarios-que-lucharon-contra-el-covid-en-varias-zonas-de-colombia
Salud,https://noticias.caracoltv.com/salud
Heroica labor de 100 voluntarios que lucharon contra el COVID en varias zonas de Colombia,https://noticias.caracoltv.com/salud/heroica-labor-de-100-voluntarios-que-lucharon-contra-el-covid-en-varias-zonas-de-colombia
"La misión, conformada por médicos, enfermeros y otros profesionales, terminó su travesía de tres meses. Así fue su experiencia. ",https://noticias.caracoltv.com/salud/heroica-labor-de-100-voluntarios-que-lucharon-contra-el-covid-en-varias-zonas-de-colombia
"




",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-1-de-septiembre
Salud,https://noticias.caracoltv.com/salud
"Colombia supera los 20 mil muertos por coronavirus, justo el día que empieza la ""nueva realidad""",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-1-de-septiembre
"Con 389 fallecidos y 8.901 contagios reportados este martes, hay que ser conscientes de la necesidad del autocuidado, hoy más que nunca. ",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-1-de-septiembre
"




",https://noticias.caracoltv.com/salud/bacteriologa-contrajo-covid-19-en-abril-y-volvio-a-dar-positivo-en-julio-puede-ser-reinfeccion
Salud,https://noticias.caracoltv.com/salud
Bacterióloga contrajo COVID-19 en abril y volvió a dar positivo en julio: ¿puede ser reinfección? ,https://noticias.caracoltv.com/salud/bacteriologa-contrajo-covid-19-en-abril-y-volvio-a-dar-positivo-en-julio-puede-ser-reinfeccion
"Se busca determinar si la trabajadora en Floridablanca, Santander, no desarrolló anticuerpos contra el coronavirus. Doctora Fernanda analiza el tema.",https://noticias.caracoltv.com/salud/bacteriologa-contrajo-covid-19-en-abril-y-volvio-a-dar-positivo-en-julio-puede-ser-reinfeccion
"




",https://noticias.caracoltv.com/salud/cuidado-gobierno-reconoce-que-con-nueva-normalidad-puede-haber-un-rebrote-del-coronavirus
Salud,https://noticias.caracoltv.com/salud
"¡Cuidado! Gobierno reconoce que con nueva normalidad puede haber un rebrote del coronavirus 
 ",https://noticias.caracoltv.com/salud/cuidado-gobierno-reconoce-que-con-nueva-normalidad-puede-haber-un-rebrote-del-coronavirus
"Dijo que está en manos de todos que el aumento de casos no lleve al colapso del sistema de salud. No bajemos la guardia, hay que cumplir los protocolos de bioseguridad. ",https://noticias.caracoltv.com/salud/cuidado-gobierno-reconoce-que-con-nueva-normalidad-puede-haber-un-rebrote-del-coronavirus
"




",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-31-de-agosto
Salud,https://noticias.caracoltv.com/salud
Colombia se acerca a las 20.000 muertes por COVID-19 al registrar 299 en el último reporte,https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-31-de-agosto
"Bogotá, Antioquia y Córdoba, donde más fallecidos se registraron. El número de contagios llegó a 615.168. Ya son 459.475 los recuperados.",https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-31-de-agosto
